Mortgage Amortization Schedule
Loan amount: $388000.0, Interest rate: 2.5%, Term: 30 years, Monthly payment: $1533.07, Final payment: $1532.58, Total paid: $551905.20, Cost of credit: $163905.20
Month	Interest Payment	Principal Payment	Remaining Balance
154	536.59	996.48	256567.81
155	534.52	998.55	255569.25
156	532.44	1000.63	254568.62
157	530.35	1002.72	253565.90
158	528.26	1004.81	252561.09
159	526.17	1006.90	251554.19
160	524.07	1009.00	250545.19
161	521.97	1011.10	249534.09
162	519.86	1013.21	248520.89
163	517.75	1015.32	247505.57
164	515.64	1017.43	246488.13
165	513.52	1019.55	245468.58
166	511.39	1021.68	244446.90
167	509.26	1023.81	243423.10
168	507.13	1025.94	242397.16
169	504.99	1028.08	241369.08
170	502.85	1030.22	240338.87
171	500.71	1032.36	239306.50
172	498.56	1034.51	238271.99
173	496.40	1036.67	237235.32
174	494.24	1038.83	236196.49
175	492.08	1040.99	235155.49
176	489.91	1043.16	234112.33
177	487.73	1045.34	233066.99
178	485.56	1047.51	232019.48
179	483.37	1049.70	230969.78
180	481.19	1051.88	229917.90
181	479.00	1054.07	228863.83
182	476.80	1056.27	227807.56
183	474.60	1058.47	226749.09
184	472.39	1060.68	225688.41
185	470.18	1062.89	224625.52
186	467.97	1065.10	223560.42
187	465.75	1067.32	222493.11
188	463.53	1069.54	221423.56
189	461.30	1071.77	220351.79
190	459.07	1074.00	219277.79
191	456.83	1076.24	218201.55
192	454.59	1078.48	217123.06
193	452.34	1080.73	216042.33
194	450.09	1082.98	214959.35
195	447.83	1085.24	213874.11
196	445.57	1087.50	212786.61
197	443.31	1089.76	211696.85
198	441.04	1092.03	210604.81
199	438.76	1094.31	209510.50
200	436.48	1096.59	208413.91
201	434.20	1098.87	207315.04
202	431.91	1101.16	206213.88
203	429.61	1103.46	205110.42
204	427.31	1105.76	204004.66
205	425.01	1108.06	202896.60
206	422.70	1110.37	201786.23
207	420.39	1112.68	200673.55
208	418.07	1115.00	199558.55
209	415.75	1117.32	198441.23
210	413.42	1119.65	197321.58
211	411.09	1121.98	196199.59
212	408.75	1124.32	195075.27
213	406.41	1126.66	193948.61
214	404.06	1129.01	192819.60
215	401.71	1131.36	191688.24
216	399.35	1133.72	190554.52
217	396.99	1136.08	189418.44
218	394.62	1138.45	188279.99
219	392.25	1140.82	187139.17
220	389.87	1143.20	185995.97
221	387.49	1145.58	184850.39
222	385.10	1147.97	183702.43
223	382.71	1150.36	182552.07
224	380.32	1152.75	181399.32
225	377.92	1155.15	180244.16
226	375.51	1157.56	179086.60
227	373.10	1159.97	177926.63
228	370.68	1162.39	176764.24
229	368.26	1164.81	175599.43
230	365.83	1167.24	174432.19
231	363.40	1169.67	173262.52
232	360.96	1172.11	172090.41
233	358.52	1174.55	170915.87
234	356.07	1177.00	169738.87
235	353.62	1179.45	168559.42
236	351.17	1181.90	167377.52
237	348.70	1184.37	166193.15
238	346.24	1186.83	165006.32
239	343.76	1189.31	163817.01
240	341.29	1191.78	162625.23
241	338.80	1194.27	161430.96
242	336.31	1196.76	160234.20
243	333.82	1199.25	159034.95
244	331.32	1201.75	157833.21
245	328.82	1204.25	156628.96
246	326.31	1206.76	155422.20
247	323.80	1209.27	154212.92
248	321.28	1211.79	153001.13
249	318.75	1214.32	151786.81
250	316.22	1216.85	150569.97
251	313.69	1219.38	149350.58
252	311.15	1221.92	148128.66
253	308.60	1224.47	146904.19
254	306.05	1227.02	145677.17
255	303.49	1229.58	144447.60
256	300.93	1232.14	143215.46
257	298.37	1234.70	141980.75
258	295.79	1237.28	140743.48
259	293.22	1239.85	139503.62
260	290.63	1242.44	138261.18
261	288.04	1245.03	137016.16
262	285.45	1247.62	135768.54
263	282.85	1250.22	134518.32
264	280.25	1252.82	133265.50
265	277.64	1255.43	132010.06
266	275.02	1258.05	130752.01
267	272.40	1260.67	129491.34
268	269.77	1263.30	128228.05
269	267.14	1265.93	126962.12
270	264.50	1268.57	125693.55
271	261.86	1271.21	124422.35
272	259.21	1273.86	123148.49
273	256.56	1276.51	121871.98
274	253.90	1279.17	120592.81
275	251.24	1281.83	119310.97
276	248.56	1284.51	118026.47
277	245.89	1287.18	116739.29
278	243.21	1289.86	115449.42
279	240.52	1292.55	114156.87
280	237.83	1295.24	112861.63
281	235.13	1297.94	111563.69
282	232.42	1300.65	110263.04
283	229.71	1303.36	108959.69
284	227.00	1306.07	107653.62
285	224.28	1308.79	106344.82
286	221.55	1311.52	105033.31
287	218.82	1314.25	103719.06
288	216.08	1316.99	102402.07
289	213.34	1319.73	101082.34
290	210.59	1322.48	99759.85
291	207.83	1325.24	98434.62
292	205.07	1328.00	97106.62
293	202.31	1330.76	95775.85
294	199.53	1333.54	94442.32
295	196.75	1336.32	93106.00
296	193.97	1339.10	91766.90
297	191.18	1341.89	90425.01
298	188.39	1344.68	89080.33
299	185.58	1347.49	87732.84
300	182.78	1350.29	86382.55
301	179.96	1353.11	85029.44
302	177.14	1355.93	83673.52
303	174.32	1358.75	82314.77
304	171.49	1361.58	80953.19
305	168.65	1364.42	79588.77
306	165.81	1367.26	78221.51
307	162.96	1370.11	76851.40
308	160.11	1372.96	75478.44
309	157.25	1375.82	74102.61
310	154.38	1378.69	72723.93
311	151.51	1381.56	71342.36
312	148.63	1384.44	69957.92
313	145.75	1387.32	68570.60
314	142.86	1390.21	67180.38
315	139.96	1393.11	65787.27
316	137.06	1396.01	64391.26
317	134.15	1398.92	62992.34
318	131.23	1401.84	61590.50
319	128.31	1404.76	60185.75
320	125.39	1407.68	58778.06
321	122.45	1410.62	57367.45
322	119.52	1413.55	55953.89
323	116.57	1416.50	54537.39
324	113.62	1419.45	53117.94
325	110.66	1422.41	51695.54
326	107.70	1425.37	50270.16
327	104.73	1428.34	48841.82
328	101.75	1431.32	47410.51
329	98.77	1434.30	45976.21
330	95.78	1437.29	44538.92
331	92.79	1440.28	43098.64
332	89.79	1443.28	41655.36
333	86.78	1446.29	40209.07
334	83.77	1449.30	38759.77
335	80.75	1452.32	37307.45
336	77.72	1455.35	35852.11
337	74.69	1458.38	34393.73
338	71.65	1461.42	32932.31
339	68.61	1464.46	31467.85
340	65.56	1467.51	30000.34
341	62.50	1470.57	28529.77
342	59.44	1473.63	27056.14
343	56.37	1476.70	25579.43
344	53.29	1479.78	24099.65
345	50.21	1482.86	22616.79
346	47.12	1485.95	21130.84
347	44.02	1489.05	19641.79
348	40.92	1492.15	18149.64
349	37.81	1495.26	16654.38
350	34.70	1498.37	15156.01
351	31.58	1501.49	13654.52
352	28.45	1504.62	12149.89
353	25.31	1507.76	10642.14
354	22.17	1510.90	9131.24
355	19.02	1514.05	7617.19
356	15.87	1517.20	6099.99
357	12.71	1520.36	4579.63
358	9.54	1523.53	3056.10
359	6.37	1526.70	1529.40
360	3.19	1529.88	-0.49
